added at,release date,name,album,artist(s),id
2019-03-25T19:22:59+00:00,2019-03-21,Robocopyright,Robocopyright,Dan Bull+Grandayy+Dylan Locke+Jacksepticeye+pewdiepie,spotify:track:4iLnzrWDa4rMQqoW0aQ7iX
2019-03-13T22:54:41+00:00,2015-07-17,Queen,En Route,Human Resources,spotify:track:7mXf7hR24sxxUscWkat7EG
2019-03-11T19:56:39+00:00,1966-06-16,Wouldn't It Be Nice - Stereo / Remastered,Pet Sounds (Original Mono & Stereo Mix Versions),The Beach Boys,spotify:track:2Gy7qnDwt8Z3MNxqat4CsK
2019-03-10T22:29:19+00:00,2016-01-15,"Make the Call, Leave It All",O,De Staat,spotify:track:7H88mgMUAW4whBr2PkZm4p
2019-03-10T22:29:11+00:00,2016-01-15,Murder Death,O,De Staat,spotify:track:7LqCPOJnC843QVhcd5HmIx
2019-03-10T22:17:10+00:00,2016-01-15,Systematic Lover,O,De Staat,spotify:track:17DE3hGiFIGqoEclZxvgVI
2019-03-10T22:09:03+00:00,2016-01-15,Get on Screen,O,De Staat,spotify:track:65KSZflKSDnPSngw0xw1Xa
2019-03-10T21:56:46+00:00,2016-01-15,Time Will Get Us Too,O,De Staat,spotify:track:4St5tcazwSomaUQDw6LHJf
2019-03-10T17:21:39+00:00,2016-01-15,She's with Me,O,De Staat,spotify:track:4We31xWtplX3vxIrA5T3I0
2019-03-08T22:11:53+00:00,2016-07-15,Seattle Rain,Critical Mistakes,888,spotify:track:1HPyalu8eTwNVZBdtpHwwa
2019-03-08T22:07:39+00:00,2015-05-26,Gasoline,Gasoline,Dave Monks,spotify:track:4QS475X0qBl775I4JryTGX
2019-03-08T22:01:25+00:00,2014-05-06,Seventeen,Memory Palace,Stone Cold Fox,spotify:track:3F2N8N0qHrQ32cQaX8DWRS
2019-03-08T21:53:42+00:00,2016-02-16,Ghengis Kahn,Ghengis Kahn,Tim Whybrow,spotify:track:46zKgD8f2UecI18HLeUABs
2019-03-08T21:46:50+00:00,2015-11-20,Clarity,Move in Place,Come Wind,spotify:track:60vu4JCCJY3f3VzJVEw3pI
2019-03-08T21:40:55+00:00,2014-10-21,Nomads,HIGHS,Highs,spotify:track:7lw5r1Y9DJ2qIrfC2TNfTQ
2019-03-08T21:36:50+00:00,2014-08-05,Oh My God,Seasons EP,Hollow Wood,spotify:track:7fvIzIciVTq56QmAK6frlP
2019-03-07T01:50:31+00:00,2015-08-25,Punch Lines & Good Times,Punch Lines & Good Times,Tipling Rock,spotify:track:5bKUu7QIlyMXax9Jh1fjks
2019-03-07T01:47:41+00:00,2015-03-03,Little Grace,Little Grace,Hippo Campus,spotify:track:7Gu74lJU63jgD2770J1baX
2019-03-07T01:46:26+00:00,2014-11-29,Traffic,The Abyss,DBMK,spotify:track:40DIQ2zOOvHQfvOEQPHBJD
2019-03-07T01:39:42+00:00,2016-10-21,Mercurial,Assouf,Picture Atlantic,spotify:track:0rrl53lmoRUNGwkdmesfSN
2019-03-07T01:36:23+00:00,2015-05-27,Ariel,Ariel,M1LDL1FE,spotify:track:2PlGLYPERTRImrtCP3cFtZ
2019-03-07T01:31:00+00:00,2016-07-29,Colours,Colours,Luna Bay,spotify:track:7sfeb43s1bi2KlQOkNJkGA
2019-03-07T01:21:22+00:00,2015-07-10,Bare Hands,Nika,Deal Casino,spotify:track:1bZpYr83rE4dO7CSP7OItN
2019-03-04T02:40:38+00:00,2015-01-13,Teenage Love Song,Freaking Out,RFA,spotify:track:5HCVsMnVz5Wlhy6QWismUd
2019-02-27T00:43:33+00:00,2018-11-09,Algorithm,Simulation Theory (Super Deluxe),Muse,spotify:track:7f0vVL3xi4i78Rv5Ptn2s1
2019-02-26T23:49:52+00:00,2018-11-09,The Dark Side,Simulation Theory (Super Deluxe),Muse,spotify:track:0dMYPDqcI4ca4cjqlmp9mE
2019-02-26T23:49:52+00:00,2018-11-09,Pressure,Simulation Theory (Super Deluxe),Muse,spotify:track:3eSyMBd7ERw68NVB3jlRmW
2019-02-26T23:49:52+00:00,2018-11-09,Something Human,Simulation Theory (Super Deluxe),Muse,spotify:track:1esX5rtwwssnsEQNQk0HGg
2019-02-26T23:49:52+00:00,2018-11-09,Get up and Fight,Simulation Theory (Super Deluxe),Muse,spotify:track:7lvZfms8Bh8QnThBmFTD7a
2019-02-26T23:49:52+00:00,2018-11-09,Blockades,Simulation Theory (Super Deluxe),Muse,spotify:track:7pdG3g13RKtrCmKwnSDeO4
2019-02-26T23:49:52+00:00,2018-11-09,The Void,Simulation Theory (Super Deluxe),Muse,spotify:track:5vV3MXW9acnFuYeYO08CHC
